# Momentum Exchange Analysis Data
# Parameters: m1=0.1, m2=0.1, p=1.0, d=10.0
# Columns: impact_parameter, momentum_change, log10_b, log10_dp
0.010000000000000002,804.0000000615732,-2.0,2.905256048781711
0.01268961003167922,633.5892104283836,-1.896551724137931,2.8018077729196422
0.01610262027560939,499.29762131905363,-1.793103448275862,2.6983594970575733
0.020433597178569417,393.4696338757238,-1.6896551724137931,2.5949112211955043
0.02592943797404667,310.07228188528967,-1.5862068965517242,2.4914629453334354
0.03290344562312668,244.3513087566944,-1.4827586206896552,2.3880146694713664
0.041753189365604,192.56014026174083,-1.3793103448275863,2.2845663936092975
0.05298316906283707,151.74630251128315,-1.2758620689655173,2.1811181177472285
0.06723357536499339,119.5831094355564,-1.1724137931034482,2.077669841885159
0.0853167852417281,94.2370247289088,-1.0689655172413792,1.9742215660230904
0.10826367338740543,74.2631369235532,-0.9655172413793104,1.8707732901610215
0.1373823795883263,58.522788910106414,-0.8620689655172413,1.7673250142989525
0.17433288221999882,46.11866618753931,-0.7586206896551724,1.6638767384368836
0.2212216291070449,36.34364339991968,-0.6551724137931034,1.5604284625748146
0.2807216203941177,28.64047303990343,-0.5517241379310345,1.4569801867127457
0.3562247890262442,22.570018281415557,-0.4482758620689655,1.3535319108506767
0.4520353656360243,17.786218981568545,-0.3448275862068966,1.2500836349886078
0.5736152510448679,14.016363731561329,-0.2413793103448276,1.1466353591265388
0.7278953843983151,11.04554331974734,-0.1379310344827586,1.0431870832644696
0.9236708571873862,8.704399341014014,-0.034482758620689676,0.9397388074024009
1.1721022975334803,6.859469533960261,0.06896551724137935,0.8362905315403318
1.4873521072935114,5.405579459759446,0.1724137931034483,0.7328422556782629
1.8873918221350972,4.259846792978337,0.27586206896551724,0.6293939798161939
2.3950266199874855,3.3569564252516506,0.3793103448275862,0.5259457039541249
3.0391953823131974,2.6454370283019824,0.4827586206896552,0.4224974280920559
3.856620421163471,2.084726813273009,0.5862068965517241,0.31904915222998703
4.893900918477494,1.6428612132827973,0.6896551724137931,0.21560087636791794
6.2101694189156165,1.2946506702581442,0.7931034482758621,0.112152600505849
7.880462815669913,1.0202446466251434,0.896551724137931,0.008704324643780036
10.0,0.8040000000615732,1.0,-0.0947439512182889
