# Momentum Exchange Analysis Data
# Parameters: m1=0.0, m2=0.0, p=1.0, d=10.0
# Columns: impact_parameter, momentum_change, log10_b, log10_dp
0.010000000000000002,799.9999999999999,-2.0,2.9030899869919433
0.01268961003167922,630.437025253593,-1.896551724137931,2.799641711129875
0.01610262027560939,496.81355351324936,-1.793103448275862,2.696193435267806
0.020433597178569417,391.5120734781995,-1.6896551724137931,2.592745159405737
0.02592943797404667,308.5296336930778,-1.5862068965517242,2.489296883543668
0.03290344562312668,243.13563058505582,-1.4827586206896552,2.385848607681599
0.041753189365604,191.60212959899889,-1.3793103448275863,2.28240033181953
0.05298316906283707,150.9913457708078,-1.2758620689655173,2.178952055957461
0.06723357536499339,118.98816858348088,-1.1724137931034482,2.0755037800953917
0.0853167852417281,93.7681838026784,-1.0689655172413792,1.9720555042333228
0.10826367338740543,73.89366857499091,-0.9655172413793104,1.868607228371254
0.1373823795883263,58.231630751865204,-0.8620689655172413,1.7651589525091849
0.17433288221999882,45.88922008358943,-0.7586206896551724,1.661710676647116
0.2212216291070449,36.16282925088194,-0.6551724137931034,1.558262400785047
0.2807216203941177,28.49798312209954,-0.5517241379310345,1.454814124922978
0.3562247890262442,22.457729631529418,-0.4482758620689655,1.351365849060909
0.4520353656360243,17.69773032856359,-0.3448275862068966,1.2479175731988401
0.5736152510448679,13.946630577599905,-0.2413793103448276,1.1444692973367712
0.7278953843983151,10.990590367066103,-0.1379310344827586,1.0410210214747022
0.9236708571873862,8.661093870992437,-0.034482758620689676,0.9375727456126333
1.1721022975334803,6.825342819338246,0.06896551724137935,0.8341244697505642
1.4873521072935114,5.37868602919947,0.1724137931034483,0.7306761938884954
1.8873918221350972,4.238653525026967,0.27586206896551724,0.6272279180264263
2.3950266199874855,3.340255149248321,0.3793103448275862,0.5237796421643574
3.0391953823131974,2.6322756498501345,0.4827586206896552,0.4203313663022884
3.856620421163471,2.074355037923734,0.5862068965517241,0.3168830904402195
4.893900918477494,1.6346877742855532,0.6896551724137931,0.2134348145781504
6.2101694189156165,1.2882096220487513,0.7931034482758621,0.10998653871608147
7.880462815669913,1.0151688025343377,0.896551724137931,0.0065382628540125495
10.0,0.8,1.0,-0.09691001300805639
