# Momentum Exchange Analysis Data
# Parameters: m1=1.0, m2=0.1, p=1.0, d=10.0
# Columns: impact_parameter, momentum_change, log10_b, log10_dp
0.010000000000000002,968.5071689865198,-2.0,2.9861028397580345
0.01268961003167922,763.2284731908007,-1.896551724137931,2.8826545638959655
0.01610262027560939,601.4593602840627,-1.793103448275862,2.7792062880338966
0.020433597178569417,473.9778123855168,-1.6896551724137931,2.6757580121718276
0.02592943797404667,373.51645259566357,-1.5862068965517242,2.5723097363097587
0.03290344562312668,294.348251572106,-1.4827586206896552,2.4688614604476897
0.041753189365604,231.9600451371434,-1.3793103448275863,2.3654131845856208
0.05298316906283707,182.7952510424373,-1.2758620689655173,2.261964908723552
0.06723357536499339,144.0511178720973,-1.1724137931034482,2.158516632861483
0.0853167852417281,113.51894779467465,-1.0689655172413792,2.055068356999414
0.10826367338740543,89.45818469699078,-0.9655172413793104,1.951620081137345
0.1373823795883263,70.49718980619669,-0.8620689655172413,1.8481718052752758
0.17433288221999882,55.55504828769569,-0.7586206896551724,1.7447235294132069
0.2212216291070449,43.77994922539324,-0.6551724137931034,1.641275253551138
0.2807216203941177,34.50062619426282,-0.5517241379310345,1.5378269776890692
0.3562247890262442,27.188090184121553,-0.4482758620689655,1.4343787018270002
0.4520353656360243,21.425473372505003,-0.3448275862068966,1.3309304259649313
0.5736152510448679,16.88426462201515,-0.2413793103448276,1.227482150102862
0.7278953843983151,13.305581952372137,-0.1379310344827586,1.1240338742407932
0.9236708571873862,10.485414381651731,-0.034482758620689676,1.0205855983787242
1.1721022975334803,8.262991814149697,0.06896551724137935,0.9171373225166551
1.4873521072935114,6.5116199737591565,0.1724137931034483,0.8136890466545863
1.8873918221350972,5.131457907298252,0.27586206896551724,0.7102407707925172
2.3950266199874855,4.043826322863922,0.3793103448275862,0.6067924949304484
3.0391953823131974,3.1867222970356326,0.4827586206896552,0.5033442190683793
3.856620421163471,2.5112846565655516,0.5862068965517241,0.39989594320631044
4.893900918477494,1.979008535562721,0.6896551724137931,0.2964476673442414
6.2101694189156165,1.5595503176395389,0.7931034482758621,0.19299939148217243
7.880462815669913,1.2289978287324588,0.896551724137931,0.08955111562010351
10.0,0.96850716898652,1.0,-0.013897160241965472
