Description,Start Time,End Time,Timestep,Iterations,Courant Number,Gravitational Constant,Speed of Light,mass_1,qx_1,qy_1,qz_1,px_1,py_1,pz_1,mass_2,qx_2,qy_2,qz_2,px_2,py_2,pz_2
CMScatter_b_28,0,2.20827791763576380908489227294921875e7,2208.277917635763969883555546402931213379,0,0.01,1,1,0.541196100146196984399723205366389420061,-6.038736484896278940141201019287109375e6,-85.40063036537549123750068247318267822266,0,0.3535533905932737622004221810524245196424,0,0,0,1.104138958817881904542446136474609375e7,85.40063036537549123750068247318267822266,0,-0.3535533905932737622004221810524245196424,0,0
CMScatter_b_29,0,2.453022586772848665714263916015625e7,2453.02258677284862642409279942512512207,0,0.01,1,1,0.541196100146196984399723205366389420061,-6.708013006297312676906585693359375e6,-94.86562970080777290604601148515939712524,0,0.3535533905932737622004221810524245196424,0,0,0,1.2265112933864243328571319580078125e7,94.86562970080777290604601148515939712524,0,-0.3535533905932737622004221810524245196424,0,0
CMScatter_b_30,0,2.7248924436377324163913726806640625e7,2724.89244363773241275339387357234954834,0,0.01,1,1,0.541196100146196984399723205366389420061,-7.451465816599016077816486358642578125e6,-105.3796401739383838958019623532891273499,0,0.3535533905932737622004221810524245196424,0,0,0,1.36244622181886620819568634033203125e7,105.3796401739383838958019623532891273499,0,-0.3535533905932737622004221810524245196424,0,0
CMScatter_b_31,0,3.02689378786448650062084197998046875e7,3026.893787864486512262374162673950195313,0,0.01,1,1,0.541196100146196984399723205366389420061,-8.27731591513295657932758331298828125e6,-117.0589242722769540705485269427299499512,0,0.3535533905932737622004221810524245196424,0,0,0,1.513446893932243250310420989990234375e7,117.0589242722769540705485269427299499512,0,-0.3535533905932737622004221810524245196424,0,0
CMScatter_b_32,0,3.3623661089467577636241912841796875e7,3362.366108946757776720914989709854125977,0,0.01,1,1,0.541196100146196984399723205366389420061,-9.19469543915647827088832855224609375e6,-130.0326299194513239854131825268268585205,0,0.3535533905932737622004221810524245196424,0,0,0,1.68118305447337888181209564208984375e7,130.0326299194513239854131825268268585205,0,-0.3535533905932737622004221810524245196424,0,0
CMScatter_b_33,0,3.735019013855110108852386474609375e7,3735.019013855110188160324469208717346191,0,0.01,1,1,0.541196100146196984399723205366389420061,-1.02137486457754783332347869873046875e7,-144.4442185752551495170337148010730743408,0,0.3535533905932737622004221810524245196424,0,0,0,1.8675095069275550544261932373046875e7,144.4442185752551495170337148010730743408,0,-0.3535533905932737622004221810524245196424,0,0
CMScatter_b_34,0,4.148973247362719476222991943359375e7,4148.973247362720030650962144136428833008,0,0.01,1,1,0.541196100146196984399723205366389420061,-1.134574408574979938566684722900390625e7,-160.4530516128169779221934732049703598022,0,0.3535533905932737622004221810524245196424,0,0,0,2.0744866236813597381114959716796875e7,160.4530516128169779221934732049703598022,0,-0.3535533905932737622004221810524245196424,0,0
CMScatter_b_35,0,4.6088062586766041815280914306640625e7,4608.806258676604556967504322528839111328,0,0.01,1,1,0.541196100146196984399723205366389420061,-1.260319920958393998444080352783203125e7,-178.2361525148348277980403508991003036499,0,0.3535533905932737622004221810524245196424,0,0,0,2.30440312933830209076404571533203125e7,178.2361525148348277980403508991003036499,0,-0.3535533905932737622004221810524245196424,0,0
CMScatter_b_36,0,5.1196028182438783347606658935546875e7,5119.602818243878573412075638771057128906,0,0.01,1,1,0.541196100146196984399723205366389420061,-1.40000187837799303233623504638671875e7,-197.9901643749966240193316480144858360291,0,0.3535533905932737622004221810524245196424,0,0,0,2.55980140912193916738033294677734375e7,197.9901643749966240193316480144858360291,0,-0.3535533905932737622004221810524245196424,0,0
CMScatter_b_37,0,5.6870112444468080997467041015625e7,5687.011244446808632346801459789276123047,0,0.01,1,1,0.541196100146196984399723205366389420061,-1.555164864784053154289722442626953125e7,-219.933524350372834987865644507110118866,0,0.3535533905932737622004221810524245196424,0,0,0,2.84350562222340404987335205078125e7,219.933524350372834987865644507110118866,0,-0.3535533905932737622004221810524245196424,0,0
