"Description","Start Time","End Time","Timestep","Iterations","Courant Number","Gravitational Constant","Number of Particles","mass_1","qx_1","qy_1","qz_1","px_1","py_1","pz_1","mass_2","qx_2","qy_2","qz_2","px_2","py_2","pz_2"
"CMScatter_b_11",0,2.8607385924943587742745876312255859375e6,286.0738592494358840667700860649347305298,0,0.001,1,2,0,-1.43036929624717938713729381561279296875e6,-14.30369296247179278225303278304636478424,0,0.5,0,0,0,1.43036929624717938713729381561279296875e6,14.30369296247179278225303278304636478424,0,-0.5,0,0
"CMScatter_b_12",0,3.1777958409123118035495281219482421875e6,317.7795840912311859938199631869792938232,0,0.001,1,2,0,-1.58889792045615590177476406097412109375e6,-15.88897920456155965496236603939905762672,0,0.5,0,0,0,1.58889792045615590177476406097412109375e6,15.88897920456155965496236603939905762672,0,-0.5,0,0
"CMScatter_b_13",0,3.52999272041648440062999725341796875e6,352.9992720416484530687739606946706771851,0,0.001,1,2,0,-1.764996360208242200314998626708984375e6,-17.64996360208242265343869803473353385925,0,0.5,0,0,0,1.764996360208242200314998626708984375e6,17.64996360208242265343869803473353385925,0,-0.5,0,0
"CMScatter_b_14",0,3.921223775853390805423259735107421875e6,392.1223775853391089185606688261032104492,0,0.001,1,2,0,-1.9606118879266954027116298675537109375e6,-19.60611887926695473538529768120497465134,0,0.5,0,0,0,1.9606118879266954027116298675537109375e6,19.60611887926695473538529768120497465134,0,-0.5,0,0
"CMScatter_b_15",0,4.355815186639758758246898651123046875e6,435.5815186639758849196368828415870666504,0,0.001,1,2,0,-2.1779075933198793791234493255615234375e6,-21.7790759331987935354391083819791674614,0,0.5,0,0,0,2.1779075933198793791234493255615234375e6,21.7790759331987935354391083819791674614,0,-0.5,0,0
"CMScatter_b_16",0,4.83857260506188869476318359375e6,483.8572605061888793898106086999177932739,0,0.001,1,2,0,-2.419286302530944347381591796875e6,-24.19286302530944254840505891479551792145,0,0.5,0,0,0,2.419286302530944347381591796875e6,24.19286302530944254840505891479551792145,0,-0.5,0,0
"CMScatter_b_17",0,5.374834296520315110683441162109375e6,537.4834296520315319867222569882869720459,0,0.001,1,2,0,-2.6874171482601575553417205810546875e6,-26.87417148260157517825064132921397686005,0,0.5,0,0,0,2.6874171482601575553417205810546875e6,26.87417148260157517825064132921397686005,0,-0.5,0,0
"CMScatter_b_18",0,5.9705301693373061716556549072265625e6,597.0530169337306460874970071017742156982,0,0.001,1,2,0,-2.98526508466865308582782745361328125e6,-29.85265084668652946220390731468796730042,0,0.5,0,0,0,2.98526508466865308582782745361328125e6,29.85265084668652946220390731468796730042,0,-0.5,0,0
"CMScatter_b_19",0,6.63224734687078557908535003662109375e6,663.224734687078580464003607630729675293,0,0.001,1,2,0,-3.316123673435392789542675018310546875e6,-33.1612367343539276021147088613361120224,0,0.5,0,0,0,3.316123673435392789542675018310546875e6,33.1612367343539276021147088613361120224,0,-0.5,0,0
"CMScatter_b_20",0,7.36730300702204369008541107177734375e6,736.7303007022044312179787084460258483887,0,0.001,1,2,0,-3.683651503511021845042705535888671875e6,-36.83651503511021729764252086170017719269,0,0.5,0,0,0,3.683651503511021845042705535888671875e6,36.83651503511021729764252086170017719269,0,-0.5,0,0
"CMScatter_b_21",0,8.183825294586603529751300811767578125e6,818.3825294586604286450892686843872070313,0,0.001,1,2,0,-4.0919126472933017648756504058837890625e6,-40.91912647293301574791257735341787338257,0,0.5,0,0,0,4.0919126472933017648756504058837890625e6,40.91912647293301574791257735341787338257,0,-0.5,0,0
"CMScatter_b_22",0,9.0908432011659108102321624755859375e6,909.0843201165911295902333222329616546631,0,0.001,1,2,0,-4.54542160058295540511608123779296875e6,-45.4542160058295579005971376318484544754,0,0.5,0,0,0,4.54542160058295540511608123779296875e6,45.4542160058295579005971376318484544754,0,-0.5,0,0
"CMScatter_b_23",0,1.00983864065195880830287933349609375e7,1009.838640651958826310874428600072860718,0,0.001,1,2,0,-5.04919320325979404151439666748046875e6,-50.49193203259793705228730686940252780914,0,0.5,0,0,0,5.04919320325979404151439666748046875e6,50.49193203259793705228730686940252780914,0,-0.5,0,0
"CMScatter_b_24",0,1.121759618539024330675601959228515625e7,1121.759618539024359051836654543876647949,0,0.001,1,2,0,-5.608798092695121653378009796142578125e6,-56.08798092695121795259183272719383239746,0,0.5,0,0,0,5.608798092695121653378009796142578125e6,56.08798092695121795259183272719383239746,0,-0.5,0,0
"CMScatter_b_25",0,1.24608486061933748424053192138671875e7,1246.084860619337632670067250728607177734,0,0.001,1,2,0,-6.23042430309668742120265960693359375e6,-62.30424303096687310699053341522812843323,0,0.5,0,0,0,6.23042430309668742120265960693359375e6,62.30424303096687310699053341522812843323,0,-0.5,0,0
"CMScatter_b_26",0,1.384189138388651050627231597900390625e7,1384.189138388651144850882701575756072998,0,0.001,1,2,0,-6.920945691943255253136157989501953125e6,-69.20945691943255440037319203838706016541,0,0.5,0,0,0,6.920945691943255253136157989501953125e6,69.20945691943255440037319203838706016541,0,-0.5,0,0
"CMScatter_b_27",0,1.537599590031792409718036651611328125e7,1537.599590031792558875167742371559143066,0,0.001,1,2,0,-7.687997950158962048590183258056640625e6,-76.87997950158961657507461495697498321533,0,0.5,0,0,0,7.687997950158962048590183258056640625e6,76.87997950158961657507461495697498321533,0,-0.5,0,0
"CMScatter_b_28",0,1.70801260730750970542430877685546875e7,1708.012607307509824750013649463653564453,0,0.001,1,2,0,-8.54006303653754852712154388427734375e6,-85.40063036537549123750068247318267822266,0,0.5,0,0,0,8.54006303653754852712154388427734375e6,85.40063036537549123750068247318267822266,0,-0.5,0,0
